Item,Support,MIS,Length
['administration'],0.2314868804664723,0.046297376093294464,1.0
['bush'],0.6189504373177842,0.12379008746355685,1.0
['general'],0.48192419825072885,0.09638483965014577,1.0
['house'],0.35422740524781343,0.07084548104956269,1.0
['iraq'],0.24927113702623907,0.049854227405247815,1.0
['john'],0.23323615160349853,0.04664723032069971,1.0
['kerry'],0.46997084548104956,0.09399416909620992,1.0
['news'],0.22798833819241981,0.04559766763848397,1.0
['president'],0.2868804664723032,0.05737609329446064,1.0
['republican'],0.23498542274052478,0.04699708454810496,1.0
['vote'],0.2282798833819242,0.045655976676384845,1.0
['war'],0.378134110787172,0.07562682215743441,1.0
['campaign'],0.27988338192419826,0.055976676384839656,1.0
['democratic'],0.4279883381924198,0.08559766763848398,1.0
['democrats'],0.31137026239067056,0.06227405247813411,1.0
['election'],0.2932944606413994,0.058658892128279884,1.0
['media'],0.2921282798833819,0.058425655976676386,1.0
['poll'],0.36064139941690965,0.07212827988338193,1.0
['polls'],0.25626822157434404,0.05125364431486881,1.0
['primary'],0.2897959183673469,0.05795918367346939,1.0
['race'],0.2239067055393586,0.04478134110787172,1.0
['republicans'],0.30728862973760934,0.06145772594752187,1.0
['senate'],0.2839650145772595,0.0567930029154519,1.0
['elections'],0.23848396501457725,0.047696793002915454,1.0
['time'],0.31807580174927114,0.06361516034985423,1.0
['bushs'],0.2099125364431487,0.04198250728862974,1.0
['people'],0.28833819241982506,0.057667638483965014,1.0
['state'],0.25510204081632654,0.05102040816326531,1.0
['states'],0.21982507288629738,0.04396501457725948,1.0
['political'],0.22857142857142856,0.045714285714285714,1.0
['national'],0.21836734693877552,0.043673469387755105,1.0
"['administration', 'iraq']",0.1,0.046297376093294464,2.0
"['administration', 'john']",0.052478134110787174,0.046297376093294464,2.0
"['administration', 'news']",0.056851311953352766,0.046297376093294464,2.0
"['administration', 'president']",0.1075801749271137,0.046297376093294464,2.0
"['administration', 'republican']",0.049271137026239066,0.046297376093294464,2.0
"['administration', 'campaign']",0.06763848396501458,0.046297376093294464,2.0
"['administration', 'democrats']",0.06559766763848396,0.046297376093294464,2.0
"['administration', 'election']",0.06151603498542274,0.046297376093294464,2.0
"['administration', 'media']",0.06209912536443149,0.046297376093294464,2.0
"['administration', 'primary']",0.04664723032069971,0.046297376093294464,2.0
"['administration', 'republicans']",0.0641399416909621,0.046297376093294464,2.0
"['administration', 'senate']",0.053644314868804666,0.046297376093294464,2.0
"['administration', 'time']",0.0892128279883382,0.046297376093294464,2.0
"['administration', 'bushs']",0.08658892128279884,0.046297376093294464,2.0
"['administration', 'people']",0.08688046647230321,0.046297376093294464,2.0
"['administration', 'state']",0.06209912536443149,0.046297376093294464,2.0
"['administration', 'states']",0.06268221574344024,0.046297376093294464,2.0
"['administration', 'political']",0.06880466472303207,0.046297376093294464,2.0
"['administration', 'national']",0.07026239067055394,0.046297376093294464,2.0
"['general', 'kerry']",0.31020408163265306,0.09638483965014577,2.0
"['general', 'democratic']",0.22244897959183674,0.09638483965014577,2.0
"['house', 'president']",0.10874635568513119,0.07084548104956269,2.0
"['house', 'war']",0.18192419825072886,0.07084548104956269,2.0
"['house', 'campaign']",0.11603498542274053,0.07084548104956269,2.0
"['house', 'democratic']",0.20204081632653062,0.07084548104956269,2.0
"['house', 'democrats']",0.18454810495626822,0.07084548104956269,2.0
"['house', 'election']",0.1553935860058309,0.07084548104956269,2.0
"['house', 'media']",0.15043731778425656,0.07084548104956269,2.0
"['house', 'poll']",0.15918367346938775,0.07084548104956269,2.0
"['house', 'polls']",0.1326530612244898,0.07084548104956269,2.0
"['house', 'primary']",0.14169096209912538,0.07084548104956269,2.0
"['house', 'republicans']",0.18221574344023322,0.07084548104956269,2.0
"['house', 'senate']",0.17959183673469387,0.07084548104956269,2.0
"['house', 'time']",0.12798833819241984,0.07084548104956269,2.0
"['house', 'people']",0.1032069970845481,0.07084548104956269,2.0
"['house', 'state']",0.1075801749271137,0.07084548104956269,2.0
"['iraq', 'john']",0.06763848396501458,0.049854227405247815,2.0
"['iraq', 'news']",0.08163265306122448,0.049854227405247815,2.0
"['iraq', 'president']",0.11166180758017492,0.049854227405247815,2.0
"['iraq', 'republican']",0.05160349854227405,0.049854227405247815,2.0
"['iraq', 'vote']",0.051895043731778424,0.049854227405247815,2.0
"['iraq', 'campaign']",0.07201166180758017,0.049854227405247815,2.0
"['iraq', 'democrats']",0.05947521865889213,0.049854227405247815,2.0
"['iraq', 'election']",0.06705539358600583,0.049854227405247815,2.0
"['iraq', 'media']",0.06705539358600583,0.049854227405247815,2.0
"['iraq', 'republicans']",0.05860058309037901,0.049854227405247815,2.0
"['iraq', 'senate']",0.05131195335276968,0.049854227405247815,2.0
"['iraq', 'time']",0.08600583090379009,0.049854227405247815,2.0
"['iraq', 'bushs']",0.09212827988338193,0.049854227405247815,2.0
"['iraq', 'people']",0.10349854227405247,0.049854227405247815,2.0
"['iraq', 'state']",0.05830903790087463,0.049854227405247815,2.0
"['iraq', 'states']",0.06501457725947522,0.049854227405247815,2.0
"['iraq', 'political']",0.0641399416909621,0.049854227405247815,2.0
"['iraq', 'national']",0.06151603498542274,0.049854227405247815,2.0
"['john', 'news']",0.06676384839650146,0.04664723032069971,2.0
"['john', 'president']",0.10349854227405247,0.04664723032069971,2.0
"['john', 'republican']",0.07667638483965014,0.04664723032069971,2.0
