support,itemsets,length
0.5309793471019321,"frozenset({'abstract', 'algorithm', 'approach'})",3
0.5596269153897402,"frozenset({'abstract', 'algorithm', 'case'})",3
0.5822784810126582,"frozenset({'data', 'algorithm', 'abstract'})",3
0.5236508994003998,"frozenset({'abstract', 'algorithm', 'error'})",3
0.5256495669553631,"frozenset({'abstract', 'form', 'algorithm'})",3
0.6655562958027982,"frozenset({'abstract', 'algorithm', 'function'})",3
0.5962691538974018,"frozenset({'abstract', 'algorithm', 'information'})",3
0.5709526982011992,"frozenset({'abstract', 'algorithm', 'input'})",3
0.6355762824783477,"frozenset({'abstract', 'algorithm', 'introduction'})",3
0.5356429047301798,"frozenset({'abstract', 'algorithm', 'large'})",3
0.6095936042638241,"frozenset({'abstract', 'algorithm', 'learning'})",3
0.5096602265156562,"frozenset({'abstract', 'algorithm', 'mean'})",3
0.5516322451698867,"frozenset({'abstract', 'algorithm', 'method'})",3
0.6009327115256495,"frozenset({'abstract', 'algorithm', 'model'})",3
0.6255829447035309,"frozenset({'abstract', 'algorithm', 'network'})",3
0.6568954030646236,"frozenset({'abstract', 'algorithm', 'neural'})",3
0.6355762824783477,"frozenset({'abstract', 'algorithm', 'number'})",3
0.5416389073950699,"frozenset({'abstract', 'algorithm', 'order'})",3
0.5156562291805463,"frozenset({'abstract', 'algorithm', 'output'})",3
0.5596269153897402,"frozenset({'abstract', 'algorithm', 'paper'})",3
0.536309127248501,"frozenset({'abstract', 'algorithm', 'parameter'})",3
0.5396402398401066,"frozenset({'abstract', 'algorithm', 'point'})",3
0.6375749500333111,"frozenset({'problem', 'algorithm', 'abstract'})",3
0.5396402398401066,"frozenset({'abstract', 'algorithm', 'processing'})",3
0.692871419053964,"frozenset({'abstract', 'algorithm', 'references'})",3
0.6835443037974683,"frozenset({'abstract', 'algorithm', 'result'})",3
0.6715522984676882,"frozenset({'abstract', 'algorithm', 'set'})",3
0.5009993337774816,"frozenset({'abstract', 'algorithm', 'simple'})",3
0.5129913391072618,"frozenset({'abstract', 'algorithm', 'small'})",3
0.5143237841439041,"frozenset({'abstract', 'algorithm', 'space'})",3
0.6489007328447701,"frozenset({'abstract', 'algorithm', 'system'})",3
0.5063291139240507,"frozenset({'abstract', 'algorithm', 'training'})",3
0.5296469020652899,"frozenset({'abstract', 'algorithm', 'values'})",3
0.5529646902065289,"frozenset({'abstract', 'analysis', 'function'})",3
0.5323117921385743,"frozenset({'abstract', 'analysis', 'introduction'})",3
0.5156562291805463,"frozenset({'abstract', 'model', 'analysis'})",3
0.5163224516988674,"frozenset({'abstract', 'analysis', 'network'})",3
0.5463024650233178,"frozenset({'abstract', 'analysis', 'neural'})",3
0.5303131245836109,"frozenset({'abstract', 'analysis', 'number'})",3
0.5782811459027315,"frozenset({'abstract', 'references', 'analysis'})",3
0.5749500333111259,"frozenset({'abstract', 'analysis', 'result'})",3
0.5456362425049966,"frozenset({'abstract', 'analysis', 'set'})",3
0.5349766822118588,"frozenset({'abstract', 'system', 'analysis'})",3
0.5449700199866756,"frozenset({'abstract', 'application', 'function'})",3
0.5289806795469687,"frozenset({'abstract', 'application', 'introduction'})",3
0.519653564290473,"frozenset({'abstract', 'application', 'network'})",3
0.5449700199866756,"frozenset({'abstract', 'application', 'neural'})",3
0.5229846768820786,"frozenset({'abstract', 'application', 'number'})",3
0.513657561625583,"frozenset({'problem', 'application', 'abstract'})",3
0.569620253164557,"frozenset({'abstract', 'application', 'references'})",3
0.5609593604263824,"frozenset({'abstract', 'application', 'result'})",3
0.5469686875416389,"frozenset({'abstract', 'application', 'set'})",3
0.5309793471019321,"frozenset({'abstract', 'system', 'application'})",3
0.5003331112591606,"frozenset({'abstract', 'applied', 'function'})",3
0.5163224516988674,"frozenset({'abstract', 'applied', 'references'})",3
0.5036642238507661,"frozenset({'abstract', 'applied', 'result'})",3
0.5256495669553631,"frozenset({'abstract', 'case', 'approach'})",3
0.5303131245836109,"frozenset({'data', 'abstract', 'approach'})",3
0.6069287141905396,"frozenset({'abstract', 'function', 'approach'})",3
0.5436375749500333,"frozenset({'abstract', 'approach', 'information'})",3
0.524983344437042,"frozenset({'abstract', 'approach', 'input'})",3
0.5762824783477681,"frozenset({'abstract', 'approach', 'introduction'})",3
0.5349766822118588,"frozenset({'abstract', 'learning', 'approach'})",3
0.5016655562958028,"frozenset({'abstract', 'approach', 'method'})",3
0.558960692871419,"frozenset({'abstract', 'model', 'approach'})",3
0.5742838107928048,"frozenset({'abstract', 'approach', 'network'})",3
0.6029313790806129,"frozenset({'abstract', 'neural', 'approach'})",3
0.5822784810126582,"frozenset({'abstract', 'number', 'approach'})",3
0.5036642238507661,"frozenset({'abstract', 'paper', 'approach'})",3
0.5709526982011992,"frozenset({'problem', 'abstract', 'approach'})",3
0.6302465023317788,"frozenset({'abstract', 'references', 'approach'})",3
0.6222518321119254,"frozenset({'abstract', 'approach', 'result'})",3
0.6129247168554297,"frozenset({'abstract', 'approach', 'set'})",3
0.5909393737508328,"frozenset({'abstract', 'system', 'approach'})",3
0.5822784810126582,"frozenset({'data', 'case', 'abstract'})",3
0.5143237841439041,"frozenset({'abstract', 'error', 'case'})",3
0.5562958027981346,"frozenset({'abstract', 'form', 'case'})",3
0.7061958694203864,"frozenset({'abstract', 'case', 'function'})",3
0.5023317788141239,"frozenset({'abstract', 'case', 'general'})",3
0.6142571618920719,"frozenset({'abstract', 'case', 'information'})",3
0.6069287141905396,"frozenset({'abstract', 'case', 'input'})",3
0.6708860759493671,"frozenset({'abstract', 'case', 'introduction'})",3
0.558294470353098,"frozenset({'abstract', 'case', 'large'})",3
0.6009327115256495,"frozenset({'abstract', 'case', 'learning'})",3
0.5356429047301798,"frozenset({'abstract', 'mean', 'case'})",3
0.5396402398401066,"frozenset({'abstract', 'case', 'method'})",3
0.6382411725516323,"frozenset({'abstract', 'case', 'model'})",3
0.6562291805463024,"frozenset({'abstract', 'case', 'network'})",3
0.6935376415722851,"frozenset({'abstract', 'case', 'neural'})",3
0.6622251832111925,"frozenset({'abstract', 'case', 'number'})",3
0.5789473684210527,"frozenset({'abstract', 'case', 'order'})",3
0.5336442371752165,"frozenset({'abstract', 'case', 'output'})",3
0.5842771485676216,"frozenset({'abstract', 'case', 'paper'})",3
0.5569620253164557,"frozenset({'abstract', 'case', 'parameter'})",3
0.5689540306462358,"frozenset({'abstract', 'point', 'case'})",3
0.6282478347768155,"frozenset({'problem', 'case', 'abstract'})",3
0.5449700199866756,"frozenset({'abstract', 'processing', 'case'})",3
0.7295136575616256,"frozenset({'abstract', 'case', 'references'})",3
0.7208527648234511,"frozenset({'abstract', 'case', 'result'})",3
0.6908727514990006,"frozenset({'abstract', 'case', 'set'})",3
0.5109926715522984,"frozenset({'abstract', 'similar', 'case'})",3
0.5323117921385743,"frozenset({'abstract', 'case', 'simple'})",3
0.5276482345103265,"frozenset({'abstract', 'case', 'single'})",3
0.536309127248501,"frozenset({'abstract', 'case', 'small'})",3
0.524983344437042,"frozenset({'abstract', 'case', 'space'})",3
0.6788807461692206,"frozenset({'abstract', 'system', 'case'})",3
0.5276482345103265,"frozenset({'abstract', 'case', 'term'})",3
0.5289806795469687,"frozenset({'abstract', 'case', 'university'})",3
0.5542971352431713,"frozenset({'abstract', 'values', 'case'})",3
0.5776149233844103,"frozenset({'abstract', 'computation', 'function'})",3
0.5149900066622252,"frozenset({'abstract', 'computation', 'information'})",3
0.5043304463690873,"frozenset({'abstract', 'computation', 'input'})",3
0.5423051299133911,"frozenset({'abstract', 'computation', 'introduction'})",3
0.5289806795469687,"frozenset({'abstract', 'computation', 'model'})",3
0.5463024650233178,"frozenset({'abstract', 'computation', 'network'})",3
0.5836109260493004,"frozenset({'abstract', 'computation', 'neural'})",3
0.5423051299133911,"frozenset({'abstract', 'computation', 'number'})",3
0.5069953364423717,"frozenset({'problem', 'computation', 'abstract'})",3
0.5949367088607594,"frozenset({'abstract', 'computation', 'references'})",3
0.5829447035309794,"frozenset({'abstract', 'computation', 'result'})",3
0.5636242504996669,"frozenset({'abstract', 'computation', 'set'})",3
0.5602931379080613,"frozenset({'abstract', 'computation', 'system'})",3
0.5356429047301798,"frozenset({'abstract', 'computer', 'function'})",3
0.5096602265156562,"frozenset({'abstract', 'computer', 'introduction'})",3
0.5069953364423717,"frozenset({'abstract', 'computer', 'network'})",3
0.5309793471019321,"frozenset({'abstract', 'computer', 'neural'})",3
0.5163224516988674,"frozenset({'abstract', 'computer', 'number'})",3
0.5662891405729513,"frozenset({'abstract', 'references', 'computer'})",3
0.5522984676882079,"frozenset({'abstract', 'computer', 'result'})",3
0.5343104596935376,"frozenset({'abstract', 'computer', 'set'})",3
0.5263157894736842,"frozenset({'abstract', 'system', 'computer'})",3
0.5176548967355097,"frozenset({'conclusion', 'abstract', 'function'})",3
0.5069953364423717,"frozenset({'conclusion', 'abstract', 'introduction'})",3
0.5169886742171885,"frozenset({'conclusion', 'abstract', 'neural'})",3
0.5416389073950699,"frozenset({'conclusion', 'references', 'abstract'})",3
0.536309127248501,"frozenset({'conclusion', 'abstract', 'result'})",3
0.5109926715522984,"frozenset({'conclusion', 'abstract', 'set'})",3
0.5163224516988674,"frozenset({'conclusion', 'system', 'abstract'})",3
0.5149900066622252,"frozenset({'abstract', 'consider', 'function'})",3
0.5236508994003998,"frozenset({'abstract', 'references', 'consider'})",3
0.5256495669553631,"frozenset({'abstract', 'consider', 'result'})",3
0.5003331112591606,"frozenset({'abstract', 'consider', 'set'})",3
0.5069953364423717,"frozenset({'abstract', 'constant', 'references'})",3
0.5016655562958028,"frozenset({'abstract', 'constant', 'result'})",3
0.536309127248501,"frozenset({'data', 'error', 'abstract'})",3
0.5429713524317122,"frozenset({'data', 'form', 'abstract'})",3
0.6975349766822119,"frozenset({'data', 'abstract', 'function'})",3
0.6209193870752832,"frozenset({'data', 'abstract', 'information'})",3
0.6149233844103931,"frozenset({'data', 'abstract', 'input'})",3
0.670219853431046,"frozenset({'data', 'abstract', 'introduction'})",3
0.569620253164557,"frozenset({'data', 'abstract', 'large'})",3
0.5989340439706862,"frozenset({'data', 'abstract', 'learning'})",3
0.5309793471019321,"frozenset({'data', 'mean', 'abstract'})",3
0.5463024650233178,"frozenset({'data', 'abstract', 'method'})",3
0.6495669553630913,"frozenset({'data', 'model', 'abstract'})",3
0.6595602931379081,"frozenset({'data', 'abstract', 'network'})",3
0.6975349766822119,"frozenset({'data', 'abstract', 'neural'})",3
0.6622251832111925,"frozenset({'data', 'abstract', 'number'})",3
0.5629580279813458,"frozenset({'data', 'abstract', 'order'})",3
0.5556295802798135,"frozenset({'data', 'abstract', 'output'})",3
0.5736175882744837,"frozenset({'data', 'abstract', 'paper'})",3
0.5576282478347768,"frozenset({'data', 'abstract', 'parameter'})",3
0.5103264490339774,"frozenset({'data', 'abstract', 'performance'})",3
0.5609593604263824,"frozenset({'data', 'point', 'abstract'})",3
0.6282478347768155,"frozenset({'data', 'problem', 'abstract'})",3
0.5616255829447035,"frozenset({'data', 'processing', 'abstract'})",3
0.7301798800799467,"frozenset({'data', 'references', 'abstract'})",3
0.7175216522318454,"frozenset({'data', 'abstract', 'result'})",3
0.6975349766822119,"frozenset({'data', 'abstract', 'set'})",3
0.5216522318454364,"frozenset({'data', 'similar', 'abstract'})",3
0.5176548967355097,"frozenset({'data', 'abstract', 'simple'})",3
0.5329780146568954,"frozenset({'data', 'abstract', 'single'})",3
0.5489673550966022,"frozenset({'data', 'abstract', 'small'})",3
0.5183211192538307,"frozenset({'data', 'abstract', 'space'})",3
0.6802131912058628,"frozenset({'data', 'system', 'abstract'})",3
0.5069953364423717,"frozenset({'data', 'term', 'abstract'})",3
0.5169886742171885,"frozenset({'data', 'training', 'abstract'})",3
0.5116588940706196,"frozenset({'data', 'abstract', 'university'})",3
0.5509660226515656,"frozenset({'data', 'values', 'abstract'})",3
0.5236508994003998,"frozenset({'abstract', 'function', 'defined'})",3
0.5016655562958028,"frozenset({'abstract', 'neural', 'defined'})",3
0.5343104596935376,"frozenset({'abstract', 'references', 'defined'})",3
0.5269820119920053,"frozenset({'abstract', 'result', 'defined'})",3
0.5089940039973351,"frozenset({'abstract', 'set', 'defined'})",3
0.502998001332445,"frozenset({'abstract', 'references', 'distribution'})",3
0.508327781479014,"frozenset({'abstract', 'references', 'effect'})",3
0.5023317788141239,"frozenset({'abstract', 'effect', 'result'})",3
0.6062624916722186,"frozenset({'abstract', 'error', 'function'})",3
0.5389740173217855,"frozenset({'abstract', 'error', 'information'})",3
